State,Plant ID,Plant Name,Unit ID,January,February,March,April,May,June,July,August,September,October,November,December,Utilization Factor
TX,6145,Comanche Peak,1,915025,825950,916497,887907,910093,870756,895018,870756,868459,906045,883377,906416,101
TX,6145,Comanche Peak,2,902649,814530,905042,876804,898767,870756,882719,858478,856240,892542,868898,214383,94
TX,6251,South Texas Project,1,994053,894812,981140,948419,970570,921897,960794,960620,924160,131445,586159,992842,91.6
TX,6251,South Texas Project,2,996787,897083,734990,78250,977486,940601,966083,966082,938814,972628,956116,995801,92.9
VA,3806,Surry,1,653298,587920,650020,386547,5176,606231,628539,626166,606861,525496,633682,651816,89.4
VA,3806,Surry,2,640377,586746,649142,622465,638954,609862,629531,624518,605211,531596,0,518983,90.7
VA,6168,North Anna,1,764631,657001,219737,316241,719755,687123,702598,703472,685459,718147,703355,726143,91.6
VA,6168,North Anna,2,728175,647999,729279,705269,720487,687182,665102,702767,685817,721009,706742,729041,101.9
WA,371,Columbia Generating Station,2,862328,787939,866437,822479,602753,723960,848521,849255,829277,862462,840361,812669,95.3
WI,4046,Point Beach Nuclear Plant,1,448712,404801,447169,432133,447184,430950,444552,440178,428751,447213,435722,375884,99.3
WI,4046,Point Beach Nuclear Plant,2,451383,406798,449901,435046,450353,433931,447536,442994,422301,118303,437490,449837,94.1
